GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF2LE001,AF2UE001,AF2UE002,AF2UE003,AF2UE004,AF2UE005,AF2UE006,AF2UE007,AF2UE008,AF2UE009,AF2UE010,AF2UE011,AF2UE012,AF2UE013,AF2UE014,AF2UE015,AF2UE016,AF2UE017,AF2UE018,AF2UE019,AF2UE020,AF2UE021,AF43E001,AF43E002,AF43E003,AF43E004,AF43E005,AF43E006,AF43E007,AF43E008,NAME_M,AF2LM001,AF2UM001,AF2UM002,AF2UM003,AF2UM004,AF2UM005,AF2UM006,AF2UM007,AF2UM008,AF2UM009,AF2UM010,AF2UM011,AF2UM012,AF2UM013,AF2UM014,AF2UM015,AF2UM016,AF2UM017,AF2UM018,AF2UM019,AF2UM020,AF2UM021,AF43M001,AF43M002,AF43M003,AF43M004,AF43M005,AF43M006,AF43M007,AF43M008
"G09000305246004","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524600","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 5246, Hartford County, Connecticut",379,379,338,118,220,0,0,0,0,0,0,0,41,11,0,0,0,0,30,0,0,0,379,37,130,8,0,0,94,110,"Block Group 4, Census Tract 5246, Hartford County, Connecticut",139,139,140,66,118,12,12,12,12,12,12,12,45,18,12,12,12,12,41,12,12,12,139,40,136,20,12,12,140,90
"G09000305247001","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524700","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5247, Hartford County, Connecticut",800,800,516,315,115,0,12,0,23,51,0,51,284,252,0,0,0,0,32,0,0,0,677,0,32,134,22,68,78,343,"Block Group 1, Census Tract 5247, Hartford County, Connecticut",282,282,176,98,108,12,18,12,38,72,12,72,216,210,12,12,12,12,50,12,12,12,287,12,41,161,37,98,121,162
"G09000305247002","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524700","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5247, Hartford County, Connecticut",1128,1128,244,140,104,0,0,0,0,0,0,0,884,668,57,0,0,0,159,0,0,0,1128,7,128,14,0,120,0,859,"Block Group 2, Census Tract 5247, Hartford County, Connecticut",284,284,94,67,74,12,12,12,12,12,12,12,287,298,55,12,12,12,148,12,12,12,284,13,138,23,12,101,12,305
"G09000305247003","2012-2016",,,"Connecticut","09","Hartford County","003",,,"524700","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5247, Hartford County, Connecticut",1325,1325,348,71,224,0,38,0,0,15,0,15,977,519,28,0,0,0,216,214,198,16,1313,40,199,0,68,13,0,993,"Block Group 3, Census Tract 5247, Hartford County, Connecticut",410,410,189,67,153,12,58,12,12,25,12,25,361,236,36,12,12,12,159,264,273,25,409,60,138,12,94,27,12,387
"G09000309800001","2012-2016",,,"Connecticut","09","Hartford County","003",,,"980000","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9800, Hartford County, Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 9800, Hartford County, Connecticut",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G09000502501001","2012-2016",,,"Connecticut","09","Litchfield County","005",,,"250100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2501, Litchfield County, Connecticut",991,991,972,916,49,0,7,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,991,13,0,6,14,9,26,923,"Block Group 1, Census Tract 2501, Litchfield County, Connecticut",107,107,99,90,61,12,8,12,12,12,12,12,18,18,12,12,12,12,12,12,12,12,107,11,12,8,12,6,28,114
"G09000502501002","2012-2016",,,"Connecticut","09","Litchfield County","005",,,"250100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2501, Litchfield County, Connecticut",677,677,659,612,4,0,10,0,2,31,0,31,18,17,0,0,0,0,0,1,1,0,677,26,1,3,14,16,0,617,"Block Group 2, Census Tract 2501, Litchfield County, Connecticut",105,105,105,98,5,12,11,12,3,40,12,40,19,18,12,12,12,12,12,3,3,12,105,21,3,4,11,20,12,105
"G09000502531001","2012-2016",,,"Connecticut","09","Litchfield County","005",,,"253100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2531, Litchfield County, Connecticut",3012,3012,2809,2641,69,0,60,0,0,39,0,39,203,178,0,0,0,0,15,10,10,0,2936,9,7,97,69,190,85,2479,"Block Group 1, Census Tract 2531, Litchfield County, Connecticut",310,310,333,358,65,12,70,12,12,39,12,39,217,217,12,12,12,12,20,17,17,12,302,13,11,73,54,121,80,301
"G09000502531002","2012-2016",,,"Connecticut","09","Litchfield County","005",,,"253100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2531, Litchfield County, Connecticut",730,730,513,465,0,0,14,0,0,34,0,34,217,0,0,0,0,0,217,0,0,0,730,24,231,41,0,22,0,412,"Block Group 2, Census Tract 2531, Litchfield County, Connecticut",270,270,160,156,12,12,16,12,12,37,12,37,264,12,12,12,12,12,264,12,12,12,270,28,257,30,12,26,12,163
"G09000502532001","2012-2016",,,"Connecticut","09","Litchfield County","005",,,"253200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2532, Litchfield County, Connecticut",1943,1943,1809,1683,0,0,126,0,0,0,0,0,134,118,0,0,0,0,16,0,0,0,1842,72,79,31,58,27,28,1547,"Block Group 1, Census Tract 2532, Litchfield County, Connecticut",397,397,379,369,12,12,122,12,12,12,12,12,107,103,12,12,12,12,24,12,12,12,386,95,105,58,51,33,44,385
