"","GEOID2_Tex","GEOID","rel_n_2008","rel_n_2016","fac_n_2008","fac_n_2016","rel_diff","fac_diff"
"182",90010733001,"1500000US090010733001",0,0,0,0,0,0
"183",90010504001,"1500000US090010504001",0,0,0,0,0,0
"184",90012051002,"1500000US090012051002",0,0,0,0,0,0
"185",90012052002,"1500000US090012052002",0,0,0,0,0,0
"186",90012052001,"1500000US090012052001",0,0,0,0,0,0
"187",90012052003,"1500000US090012052003",0,0,0,0,0,0
"188",90010222001,"1500000US090010222001",0,0,0,0,0,0
"189",90010222002,"1500000US090010222002",0,0,0,0,0,0
"190",90010223002,"1500000US090010223002",14910.5,5075.19,1,1,-9835.31,0
"191",90010223003,"1500000US090010223003",0,0,0,0,0,0
"192",90010223001,"1500000US090010223001",0.53,0.18,1,1,-0.35,0
"193",90010224002,"1500000US090010224002",0,0,0,0,0,0
"194",90010608001,"1500000US090010608001",0,0,0,0,0,0
"195",90010608002,"1500000US090010608002",0,0,0,0,0,0
"196",90010609001,"1500000US090010609001",0,0,0,0,0,0
"197",90010609002,"1500000US090010609002",0,0,0,0,0,0
"198",90010610001,"1500000US090010610001",0,0,0,0,0,0
"199",90010425002,"1500000US090010425002",0,0,0,0,0,0
"200",90012305002,"1500000US090012305002",0,0,0,0,0,0
"201",90012305005,"1500000US090012305005",0,0,1,1,0,0
"202",90012305003,"1500000US090012305003",0,0,1,1,0,0
"203",90012302002,"1500000US090012302002",0,0,0,0,0,0
"204",90012302001,"1500000US090012302001",0,0,0,0,0,0
"205",90010425001,"1500000US090010425001",0,0,0,0,0,0
"206",90010717001,"1500000US090010717001",0,0,0,0,0,0
"207",90010734002,"1500000US090010734002",0,0,0,0,0,0
"208",90010734001,"1500000US090010734001",0,0,0,0,0,0
"209",90010735002,"1500000US090010735002",0,0,0,0,0,0
"210",90010735001,"1500000US090010735001",0,0,0,0,0,0
"211",90010735003,"1500000US090010735003",0,0,0,0,0,0
"212",90010736002,"1500000US090010736002",0,0,0,0,0,0
"213",90010736001,"1500000US090010736001",0,0,0,0,0,0
"214",90010736003,"1500000US090010736003",0,0,0,0,0,0
"215",90010737001,"1500000US090010737001",0,0,0,0,0,0
"216",90012053001,"1500000US090012053001",0,0,0,0,0,0
"217",90012053002,"1500000US090012053002",0,854.26,1,1,854.26,0
"218",90012053003,"1500000US090012053003",0,0,0,0,0,0
"219",90012101001,"1500000US090012101001",0,0,0,0,0,0
"220",90010432001,"1500000US090010432001",0,0,0,0,0,0
"221",90010224001,"1500000US090010224001",0,0,0,0,0,0
"222",90010801003,"1500000US090010801003",0,0,0,0,0,0
"223",90010801004,"1500000US090010801004",0,0,0,0,0,0
"224",90010801002,"1500000US090010801002",0,0,0,0,0,0
"225",90010801001,"1500000US090010801001",0,0,0,0,0,0
"226",90010802002,"1500000US090010802002",0,0,0,0,0,0
"227",90010802001,"1500000US090010802001",5546,0,1,0,-5546,-1
"228",90010805003,"1500000US090010805003",0,0,0,0,0,0
"229",90010610002,"1500000US090010610002",0,0,0,0,0,0
"230",90010610003,"1500000US090010610003",0,0,0,0,0,0
"231",90010611003,"1500000US090010611003",0,0,0,0,0,0
"232",90010611001,"1500000US090010611001",0,0,0,0,0,0
"233",90010611004,"1500000US090010611004",0,0,0,0,0,0
"234",90010611002,"1500000US090010611002",0,0,0,0,0,0
"235",90010612002,"1500000US090010612002",0,0,0,0,0,0
"236",90010612001,"1500000US090010612001",0,0,0,0,0,0
"237",90010425003,"1500000US090010425003",0,0,0,0,0,0
"238",90010426001,"1500000US090010426001",0,0,0,0,0,0
"239",90010426002,"1500000US090010426002",0,0,0,0,0,0
"240",90010426004,"1500000US090010426004",0,0,0,0,0,0
"241",90010426003,"1500000US090010426003",0,0,0,0,0,0
"242",90010427001,"1500000US090010427001",0,0,0,0,0,0
"243",90010737005,"1500000US090010737005",0,0,0,0,0,0
"244",90010737004,"1500000US090010737004",0,0,0,0,0,0
"245",90010737003,"1500000US090010737003",0,0,0,0,0,0
"246",90010737002,"1500000US090010737002",0,0,0,0,0,0
"247",90010738002,"1500000US090010738002",0,0,0,0,0,0
"248",90010738001,"1500000US090010738001",0,0,0,0,0,0
"249",90010738003,"1500000US090010738003",0,0,0,0,0,0
"250",90010739004,"1500000US090010739004",0,0,0,0,0,0
"251",90010739003,"1500000US090010739003",0,0,0,0,0,0
"252",90010739001,"1500000US090010739001",0,0,0,0,0,0
"253",90010739002,"1500000US090010739002",0,0,0,0,0,0
"254",90010740002,"1500000US090010740002",0,0,0,0,0,0
"255",90012101002,"1500000US090012101002",0,0,0,0,0,0
"256",90012101003,"1500000US090012101003",0,0,0,0,0,0
"257",90012102001,"1500000US090012102001",0,0,0,0,0,0
"258",90012102002,"1500000US090012102002",0,0,0,0,0,0
"259",90012102003,"1500000US090012102003",0,0,0,0,0,0
"260",90012103001,"1500000US090012103001",0,0,0,0,0,0
"261",90010432002,"1500000US090010432002",0,0,0,0,0,0
"262",90010433002,"1500000US090010433002",0,0,0,0,0,0
"263",90010433001,"1500000US090010433001",0,0,0,0,0,0
"264",90010434001,"1500000US090010434001",0,0,0,0,0,0
"265",90010434002,"1500000US090010434002",525,60,1,1,-465,0
"266",90010804004,"1500000US090010804004",111015,7210,1,1,-103805,0
"267",90010804001,"1500000US090010804001",0,0,0,0,0,0
"268",90010802003,"1500000US090010802003",0,0,0,0,0,0
"269",90010804002,"1500000US090010804002",0,0,0,0,0,0
"270",90010804003,"1500000US090010804003",698.006,0,3,1,-698.006,-2
"271",90010805001,"1500000US090010805001",1937,2430.34,2,1,493.34,-1
"272",90012453002,"1500000US090012453002",0,0,0,0,0,0
"273",90012453001,"1500000US090012453001",0,0,0,0,0,0
"274",90010613001,"1500000US090010613001",0,0,0,0,0,0
"275",90010613002,"1500000US090010613002",0,0,0,0,0,0
"276",90010615001,"1500000US090010615001",0,0,0,0,0,0
"277",90010614001,"1500000US090010614001",4,0,1,0,-4,-1
"278",90010614002,"1500000US090010614002",0,0,0,0,0,0
"279",90010615002,"1500000US090010615002",0,0,0,0,0,0
"280",90010427003,"1500000US090010427003",0,0,0,0,0,0
"281",90010427002,"1500000US090010427002",0,0,0,0,0,0
"282",90010428002,"1500000US090010428002",0,0,0,0,0,0
"283",90010428001,"1500000US090010428001",0,0,0,0,0,0
"284",90010428003,"1500000US090010428003",0,0,0,0,0,0
"285",90010740001,"1500000US090010740001",0,0,0,0,0,0
"286",90010744002,"1500000US090010744002",0,0,0,0,0,0
"287",90010744004,"1500000US090010744004",0,0,0,0,0,0
"288",90010744003,"1500000US090010744003",1861.84,464.71,1,1,-1397.13,0
"289",90010743001,"1500000US090010743001",5,102404.5,1,1,102399.5,0
"290",90010743006,"1500000US090010743006",0,0,0,0,0,0
"291",90010743005,"1500000US090010743005",0,0,0,0,0,0
"292",90010743004,"1500000US090010743004",0,0,0,0,0,0
"293",90012103002,"1500000US090012103002",0,0,0,0,0,0
"294",90011102011,"1500000US090011102011",0,0,0,0,0,0
"295",90012104001,"1500000US090012104001",6887,12765.03,6,6,5878.03,0
"296",90012104002,"1500000US090012104002",0,0,0,0,0,0
"297",90012104004,"1500000US090012104004",0,0,0,0,0,0
"298",90012105005,"1500000US090012105005",0,0,0,0,0,0
"299",90010434003,"1500000US090010434003",0,0,0,0,0,0
"300",90010435002,"1500000US090010435002",0,0,0,0,0,0
"301",90010435003,"1500000US090010435003",0,0,0,0,0,0
"302",90010435001,"1500000US090010435001",0,0,0,0,0,0
"303",90010436003,"1500000US090010436003",0,0,0,0,0,0
"304",90010436001,"1500000US090010436001",0,0,0,0,0,0
"305",90012454002,"1500000US090012454002",0,0,0,0,0,0
"306",90012454001,"1500000US090012454001",0,0,0,0,0,0
"307",90012455003,"1500000US090012455003",0,0,0,0,0,0
"308",90012456001,"1500000US090012456001",11476,0,1,1,-11476,0
"309",90012456003,"1500000US090012456003",0,0,0,0,0,0
"310",90012456004,"1500000US090012456004",0,0,0,0,0,0
"311",90012453004,"1500000US090012453004",0,0,0,0,0,0
"312",90012455001,"1500000US090012455001",0,0,0,0,0,0
"313",90011101002,"1500000US090011101002",0,0,0,0,0,0
"314",90012456005,"1500000US090012456005",0,0,0,0,0,0
"315",90010906002,"1500000US090010906002",0,0,0,0,0,0
"316",90010615004,"1500000US090010615004",0,0,0,0,0,0
"317",90010615003,"1500000US090010615003",0,0,0,0,0,0
"318",90010616003,"1500000US090010616003",0,0,0,0,0,0
"319",90010616002,"1500000US090010616002",0,0,0,0,0,0
"320",90010616001,"1500000US090010616001",0,0,0,0,0,0
"321",90010101013,"1500000US090010101013",0,0,0,0,0,0
"322",90010428004,"1500000US090010428004",0,0,0,0,0,0
"323",90010429002,"1500000US090010429002",0,0,0,0,0,0
"324",90010429001,"1500000US090010429001",0,0,0,0,0,0
"325",90010430003,"1500000US090010430003",0,0,0,0,0,0
"326",90010430002,"1500000US090010430002",0,0,0,0,0,0
"327",90010430001,"1500000US090010430001",0,0,0,0,0,0
"328",90010743003,"1500000US090010743003",0,0,0,0,0,0
"329",90010505003,"1500000US090010505003",0,0,0,0,0,0
"330",90010505004,"1500000US090010505004",0,0,0,0,0,0
"331",90010505001,"1500000US090010505001",0,0,0,0,0,0
"332",90010505002,"1500000US090010505002",0,0,0,0,0,0
"333",90010506001,"1500000US090010506001",0,0,0,0,0,0
"334",90010506002,"1500000US090010506002",0,0,0,0,0,0
"335",90010506003,"1500000US090010506003",0,0,0,0,0,0
"336",90010451022,"1500000US090010451022",0,0,0,0,0,0
"337",90010451011,"1500000US090010451011",0,0,0,0,0,0
"338",90010451023,"1500000US090010451023",0,0,0,0,0,0
"339",90010452003,"1500000US090010452003",0,0,0,0,0,0
"340",90010451012,"1500000US090010451012",0,0,0,0,0,0
"341",90011102012,"1500000US090011102012",0,0,0,0,0,0
"342",90012105001,"1500000US090012105001",0,0,0,0,0,0
"343",90012105002,"1500000US090012105002",0,0,0,0,0,0
"344",90012105004,"1500000US090012105004",0,0,0,0,0,0
"345",90012106001,"1500000US090012106001",0,0,1,1,0,0
"346",90012106002,"1500000US090012106002",0,0,0,0,0,0
"347",90012106005,"1500000US090012106005",0,0,0,0,0,0
"348",90010436002,"1500000US090010436002",0,0,0,0,0,0
"349",90010437001,"1500000US090010437001",0,0,0,0,0,0
"350",90010437002,"1500000US090010437002",7237.12,7362.9388,1,1,125.8188,0
"351",90010438003,"1500000US090010438003",0,0,0,0,0,0
"352",90010438005,"1500000US090010438005",0,0,0,0,0,0
"353",90010438006,"1500000US090010438006",0,0,0,0,0,0
"354",90010907001,"1500000US090010907001",0,0,0,0,0,0
"355",90011101001,"1500000US090011101001",26,0,1,0,-26,-1
"356",90011102021,"1500000US090011102021",78572.4,6674.8,2,2,-71897.6,0
"357",90011102023,"1500000US090011102023",15.3,12.7,1,1,-2.6,0
"358",90011103011,"1500000US090011103011",0,0,0,0,0,0
"359",90011106002,"1500000US090011106002",0,0,0,0,0,0
"360",90011103012,"1500000US090011103012",0,0,0,0,0,0
"361",90011103014,"1500000US090011103014",0,0,0,0,0,0
"362",90011103022,"1500000US090011103022",0,22846,0,1,22846,1
"363",90011103021,"1500000US090011103021",0,0,0,0,0,0
"364",90010101012,"1500000US090010101012",0,0,0,0,0,0
"365",90010101014,"1500000US090010101014",0,0,0,0,0,0
"366",90010101011,"1500000US090010101011",0,0,0,0,0,0
"367",90010101022,"1500000US090010101022",0,0,0,0,0,0
"368",90010101021,"1500000US090010101021",0,0,0,0,0,0
"369",90010101023,"1500000US090010101023",0,0,0,0,0,0
"370",90010102014,"1500000US090010102014",0,0,0,0,0,0
"371",90010102012,"1500000US090010102012",0,0,0,0,0,0
"372",90010102013,"1500000US090010102013",0,0,0,0,0,0
"373",90010102021,"1500000US090010102021",0,0,0,0,0,0
"374",90010102022,"1500000US090010102022",0,0,0,0,0,0
"375",90010102023,"1500000US090010102023",0,0,0,0,0,0
"376",90010103004,"1500000US090010103004",0,0,0,0,0,0
"377",90010000000,"1500000US090010000000",0,0,0,0,0,0
"378",90012001002,"1500000US090012001002",1239.49,288.7,2,2,-950.79,0
"379",90012003012,"1500000US090012003012",0,0,0,0,0,0
"380",90012003013,"1500000US090012003013",0,22439,1,1,22439,0
"381",90012003011,"1500000US090012003011",0,0,0,0,0,0
"382",90010452002,"1500000US090010452002",0,0,0,0,0,0
"383",90010453002,"1500000US090010453002",0,0,0,0,0,0
"384",90010453001,"1500000US090010453001",0,0,0,0,0,0
