Program, Transaction ID, Transaction Total, Transaction Type, Facility Name (Transferor), Account Number (Transferor), Account Name (Transferor), Facility ID (Transferor), State (Transferor), EPA Region (Transferor), Source Category (Transferor), Owner (Transferor), Representative (Transferor), Facility Name (Transferee), Account Number (Transferee), Account Name (Transferee), Facility ID (Transferee), State (Transferee), EPA Region (Transferee), Source Category (Transferee), Owner (Transferee), Representative (Transferee), Transaction Date, Allowance Vintage Year, Serial Number Start, Serial Number End, Block Totals
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2027","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2028","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2028","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2029","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2029","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2030","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2030","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2031","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2031","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2032","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2032","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2033","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2033","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2034","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2034","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2035","951156","953229","2074",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2035","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2036","679619","679626","8",
"ARP","125152","62451","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB1","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2036","951156","953229","2074",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2006","1000757","1006845","6089",
